age,income_group,income_section,state,nuts2,district,plz,education,children,job_field_maingroup,job_field_group,religion,religion_practice,religion_christian,religion_islam,migration_b_germany,migration_b_g_city,migration_b_g_state,migration_b_g_nuts2,migration_b_g_district,migration_b_country,migration_s_germany,migration_s_g_city,migration_s_g_state,migration_s_g_nuts2,migration_s_g_district,migration_s_country,migration_region,subject_well_being,innovation,climate_state_manmade,politics_orientation,politics_climate,soc_inequ_climate,covid_coping,covid_finance,unemployment_rate,patent,job_Fulltime,job_Lehre,job_Other,job_Parttime,job_Pensioner,job_Selfemployed,job_Student (School),job_Student (Uni),"job_Unemployed, job seeking","job_Unemployed, not job seeking",marital_status_Divorced,marital_status_Married,marital_status_Umarried,marital_status_Widowed,gender_Female,gender_Male,politics_vote_AfD,politics_vote_Bündnis 90|Die Grünen,politics_vote_CDU|CSU,politics_vote_Die Linke,politics_vote_FDP,politics_vote_Other,politics_vote_SPD
48,1.0,18.0,12,8,76,1067,6.0,,0,33,6,0.0,7,4,1,456,12,8,78,92,1,904,12,8,75,82,0,6.0,7.0,2.0,-0.1453627484072038,2.0,2.0,1.3087171,0.79010016,14,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
39,1.0,12.0,12,8,76,1067,6.0,,3,40,6,1.0,7,4,1,456,12,8,78,92,1,904,12,8,75,82,0,3.8,6.0,1.0,0.3106917240559465,2.0,2.0,-0.94753951,0.79010016,14,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
53,1.0,17.0,12,8,76,1067,6.0,1.0,9,26,6,1.0,7,4,1,456,12,8,78,92,1,904,12,8,75,82,1967,5.0,6.0,2.0,-0.0313491302914166,4.0,3.0,0.18058881,-0.87218261,14,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
21,1.0,17.0,12,8,76,1069,4.0,,3,3,1,1.0,6,4,1,192,12,8,28,92,1,1518,12,8,27,82,0,9.0,4.0,2.0,0.7097393874612034,2.0,4.0,0.18058881,0.79010016,14,16,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
72,1.0,18.0,12,8,76,1069,7.0,2.0,10,28,6,0.0,7,4,1,443,12,8,351,92,1,3417,12,8,348,82,0,8.0,7.0,3.0,-1.228492120507186,4.0,2.0,-0.94753951,-0.87218261,14,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
66,1.0,15.0,12,8,76,1069,5.0,2.0,10,28,6,0.0,7,4,1,308,3,2,62,92,1,577,3,2,59,82,1977,8.0,6.0,0.0,1.336814287098035,0.0,4.0,1.3087171,-0.041041251,14,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
38,2.0,19.0,12,8,76,1069,5.0,,3,13,6,0.0,7,4,1,1330,12,8,127,92,1,957,12,8,124,82,2021,7.1,6.0,3.0,-1.171485311449292,3.0,2.0,0.18058881,-0.87218261,14,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
78,1.0,12.0,12,8,76,1069,6.0,1.0,10,28,3,0.0,7,0,1,1307,12,8,404,92,1,2453,12,8,401,82,0,6.0,6.0,1.0,1.735861950503291,2.0,4.0,0.18058881,-0.041041251,14,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
69,0.0,7.0,12,8,76,1069,6.0,3.0,10,28,6,0.0,7,4,1,2194,12,8,351,92,1,4143,12,8,348,82,0,7.1,7.0,2.0,-0.1453627484072038,4.0,2.0,-0.94753951,0.79010016,14,16,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
31,1.0,13.0,12,8,76,1069,6.0,,6,21,1,0.0,0,4,1,154,15,33,379,92,1,1353,15,33,376,82,2011,7.0,7.0,1.0,0.2536849149980525,2.0,2.0,-0.94753951,0.79010016,14,16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
