feature,feature_importance
climate_eb_renewable,0.0910231471
politics_climate,0.0402989984
migration_b_g_city,0.0330675170
climate_eb_statement_6,0.0231663901
climate_eb_efficient,0.0229897443
b_q2_population,0.0185576919
migration_s_g_drill_3,0.0176130328
climate_eb_ets,0.0174828004
climate_trust_5,0.0167223159
climate_trust_6,0.0159925111
region_3,0.0157062989
migration_region,0.0147954775
climate_flood_affect,0.0135898748
migration_s_g_city,0.0129904822
bioecon_products,0.0127545707
region_2,0.0119159650
climate_trust_4,0.0110234525
adequacy,0.0100809438
GPS_73_C,0.0097641116
GPS_73_D,0.0097318953
migration_s_g_drill_2,0.0094414772
climate_eb_statement_2,0.0093467049
unemployment_rate,0.0092498120
GPS_72_B,0.0092387460
income,0.0092311539
GPS_72_A,0.0088911336
job_field_2,0.0085442411
migration_b_g_drill_3,0.0084998896
job_field_1,0.0082900263
GPS_71,0.0082561756
GPS_105,0.0079167094
e_q2_population,0.0078652613
soc_inequ_climate,0.0074274433
GPS_74,0.0074256193
climate_eb_statement_4,0.0071982369
moral_right_wrong_12,0.0071715456
moral_right_wrong_11,0.0070388969
GPS_72_D,0.0069970139
covid_coping,0.0069261114
migration_b_g_drill_2,0.0067903963
 moral_statements_2,0.0067338967
e_q1_own_opinion,0.0066666887
b_q1_distribution_5,0.0065835072
climate_eb_statement_3,0.0064875558
moral_right_wrong_2,0.0064576054
climate_eb_statement_5,0.0063451170
GPS_73_B,0.0062587280
 moral_statements_12,0.0062534832
climate_eb_statement_1,0.0062526199
e_q2_distribution_1,0.0061065210
 moral_statements_11,0.0060994076
GPS_72_C,0.0060864217
politics_orientation_1,0.0059753922
migration_b_g_drill_1,0.0059617236
moral_right_wrong_4,0.0058787274
climate_trust_2,0.0058415122
 moral_statements_16,0.0058320295
moral_right_wrong_13,0.0057913209
moral_right_wrong_5,0.0056286380
moral_right_wrong_8,0.0055842618
b_q1_point_guess,0.0055779130
innovation,0.0055667125
moral_right_wrong_9,0.0055280323
b_q2_point_guess,0.0055130296
 moral_statements_9,0.0055008754
GPS_73_E,0.0054933354
climate_trust_1,0.0054400316
region_1,0.0054298392
 moral_statements_15,0.0054288856
 moral_statements_10,0.0053857798
 moral_statements_13,0.0052925930
b_q1_distribution_4,0.0052583241
e_q1_point_guess,0.0052147233
climate_know,0.0051841522
covid_finance,0.0051446985
endline_info,0.0051362296
b_q2_distribution_3,0.0051279538
climate_trust_7,0.0051072347
religion_practice,0.0050478294
 moral_statements_14,0.0048819315
 moral_statements_3,0.0048811198
GPS_106,0.0046899132
subject_well_being_1,0.0046739825
e_q2_point_guess,0.0046203090
religion,0.0044582686
 moral_statements_4,0.0044534807
b_q1_distribution_3,0.0044269674
e_q2_distribution_5,0.0043733423
e_q1_distribution_1,0.0043602264
moral_right_wrong_6,0.0042904848
moral_right_wrong_14,0.0042775627
b_q2_distribution_1,0.0041947910
 moral_statements_5,0.0041762507
GPS_73_A,0.0040928111
e_q1_distribution_2,0.0039836653
unemployment_count,0.0039514476
e_q1_distribution_4,0.0039141695
moral_right_wrong_3,0.0038781757
e_q1_distribution_3,0.0038780358
patent,0.0038778181
b_q2_distribution_5,0.0038466556
migration_s_g_drill_1,0.0037785254
education,0.0037244323
 moral_statements_6,0.0036760210
b_q1_distribution_2,0.0036314884
b_q2_distribution_4,0.0036129931
e_q2_distribution_3,0.0035602194
moral_right_wrong_1,0.0035056053
e_q2_distribution_2,0.0034767354
region_prefix,0.0034463147
children,0.0034417005
b_q1_distribution_1,0.0034238631
GPS_107,0.0034057661
moral_right_wrong_16,0.0033626200
moral_right_wrong_7,0.0033260188
job,0.0032994864
gender,0.0032801619
 moral_statements_1,0.0032543771
climate_trust_3,0.0032506329
marital_status,0.0032087106
LocationLatitude,0.0031484403
 moral_statements_8,0.0031026164
LocationLongitude,0.0030966662
e_q1_distribution_5,0.0030183892
treat_info,0.0029801894
e_q2_distribution_4,0.0028796925
age,0.0027856336
moral_right_wrong_15,0.0026563415
b_q2_distribution_2,0.0025949962
moral_right_wrong_10,0.0025733819
goal,0.0021857303
income.1,0.0019582685
 moral_statements_7,0.0019553707
migration_b_germany,0.0000000000
migration_s_germany,0.0000000000
plz,0.0000000000
