feature,feature_importance
climate_eb_renewable,0.0681847185
climate_eb_statement_4,0.0509610325
politics_climate,0.0480325036
e_q2_population,0.0399187580
climate_trust_7,0.0290261339
climate_eb_statement_5,0.0217102580
plz,0.0215508677
region_3,0.0212582629
climate_trust_2,0.0205278993
migration_region,0.0186570138
climate_trust_5,0.0164941344
climate_trust_4,0.0134926625
migration_s_g_drill_3,0.0134785147
migration_b_g_drill_3,0.0134065934
GPS_72_D,0.0130236605
climate_eb_statement_3,0.0127225611
income,0.0115952753
climate_eb_statement_6,0.0101301679
migration_s_g_drill_2,0.0098795593
region_1,0.0097798109
migration_s_g_city,0.0091981599
job_field_2,0.0091500431
GPS_72_C,0.0091386968
GPS_72_A,0.0087658325
adequacy,0.0086078048
moral_right_wrong_8,0.0084128696
GPS_73_C,0.0081713023
GPS_73_B,0.0080401627
migration_b_g_city,0.0079359515
region_2,0.0079335524
moral_right_wrong_1,0.0077925171
job,0.0075308988
goal,0.0073666223
politics_orientation_1,0.0072033685
moral_right_wrong_10,0.0070555154
GPS_72_B,0.0069579221
migration_b_germany,0.0068841870
migration_b_g_drill_2,0.0067830305
GPS_73_D,0.0066933264
 moral_statements_16,0.0065826373
moral_right_wrong_9,0.0065398021
religion_practice,0.0065288097
b_q2_distribution_5,0.0062100007
GPS_105,0.0061734426
children,0.0061423420
migration_b_g_drill_1,0.0060501760
e_q1_own_opinion,0.0059624189
 moral_statements_12,0.0059527094
moral_right_wrong_13,0.0059524504
 moral_statements_1,0.0058946982
climate_trust_3,0.0056913914
 moral_statements_13,0.0056418423
 moral_statements_15,0.0055886423
education,0.0055650342
 moral_statements_9,0.0053896108
climate_know,0.0053738891
moral_right_wrong_11,0.0052865646
bioecon_products,0.0052561895
climate_trust_1,0.0051725246
GPS_74,0.0051701791
 moral_statements_11,0.0051549096
moral_right_wrong_4,0.0051061073
e_q1_distribution_2,0.0050711706
 moral_statements_10,0.0050441539
e_q1_distribution_5,0.0049674446
moral_right_wrong_5,0.0049246075
GPS_73_E,0.0048941169
 moral_statements_14,0.0048747584
climate_eb_ets,0.0048293252
climate_eb_efficient,0.0047840569
e_q1_distribution_1,0.0047379900
moral_right_wrong_2,0.0046646437
e_q1_distribution_3,0.0046533872
unemployment_rate,0.0046443036
b_q1_distribution_5,0.0045036990
GPS_71,0.0044112853
migration_s_g_drill_1,0.0043338425
b_q1_distribution_2,0.0043092887
moral_right_wrong_3,0.0042875921
e_q2_distribution_4,0.0042803138
climate_eb_statement_2,0.0042682346
innovation,0.0042503355
religion,0.0042361850
e_q2_distribution_5,0.0041975235
b_q2_population,0.0041842051
e_q1_point_guess,0.0041494956
e_q2_point_guess,0.0041024550
 moral_statements_2,0.0040757097
b_q1_distribution_3,0.0040647374
migration_s_germany,0.0040244777
GPS_73_A,0.0039173663
b_q2_distribution_2,0.0038847404
e_q2_distribution_1,0.0038293859
moral_right_wrong_15,0.0038197963
GPS_106,0.0036877843
marital_status,0.0036591324
 moral_statements_8,0.0036552963
moral_right_wrong_16,0.0036527708
 moral_statements_3,0.0035947596
moral_right_wrong_6,0.0035328160
 moral_statements_7,0.0034331998
b_q1_point_guess,0.0033445673
covid_finance,0.0032702130
e_q1_distribution_4,0.0030921511
LocationLongitude,0.0030562780
b_q2_point_guess,0.0030151599
age,0.0029808513
b_q1_distribution_4,0.0029366023
moral_right_wrong_12,0.0029198928
climate_flood_affect,0.0029194609
endline_info,0.0028407674
gender,0.0028386062
income.1,0.0028322656
subject_well_being_1,0.0027792223
treat_info,0.0027745746
region_prefix,0.0027688725
unemployment_count,0.0027038138
LocationLatitude,0.0026049719
e_q2_distribution_3,0.0025264837
 moral_statements_4,0.0025189163
job_field_1,0.0024793725
GPS_107,0.0024100931
climate_trust_6,0.0023423636
b_q1_distribution_1,0.0021993485
b_q2_distribution_3,0.0021897866
moral_right_wrong_7,0.0021383301
 moral_statements_6,0.0020775290
b_q2_distribution_4,0.0020696130
covid_coping,0.0020362078
b_q2_distribution_1,0.0020294094
patent,0.0019984017
soc_inequ_climate,0.0019976434
climate_eb_statement_1,0.0018789434
 moral_statements_5,0.0018109108
e_q2_distribution_2,0.0017957562
moral_right_wrong_14,0.0015477043
