feature,feature_importance
climate_risk,0.1225244775
politics_climate,0.0208261982
climate_eb_ets,0.0193885379
climate_eb_efficient,0.0171463229
climate_eb_renewable,0.0157245863
climate_eb_responsib,0.0156387985
region_2,0.0136568937
migration_region,0.0128203928
migration_b_g_drill_2,0.0122783286
migration_s_g_drill_2,0.0116403336
job_field_2,0.0104373936
migration_s_g_drill_3,0.0102516888
climate_trust_5,0.0101892110
climate_eb_statement_6,0.0099080857
b_q2_population,0.0096270740
bioecon_products,0.0096096545
unemployment_rate,0.0092318552
income,0.0088036815
GPS_72_A,0.0087989653
GPS_73_D,0.0087876720
region_3,0.0087284967
b_q1_own_opinion,0.0086918483
GPS_71,0.0085647749
climate_know,0.0084183645
GPS_72_C,0.0083350893
GPS_72_D,0.0082534309
GPS_72_B,0.0082105473
GPS_73_C,0.0080569973
climate_eb_statement_3,0.0079486081
GPS_73_E,0.0079443213
e_q2_population,0.0078901611
climate_eb_statement_4,0.0076281084
politics_vote,0.0074878554
migration_b_g_drill_3,0.0073741474
GPS_73_B,0.0073591634
climate_trust_3,0.0072420146
moral_right_wrong_2,0.0072159800
climate_eb_statement_5,0.0071128970
 moral_statements_6,0.0070861396
GPS_73_A,0.0070740171
climate_flood_affect,0.0070153107
religion_practice,0.0068776286
climate_eb_statement_2,0.0067296545
climate_trust_6,0.0066716825
e_q1_own_opinion,0.0064809532
 moral_statements_9,0.0064525199
 moral_statements_14,0.0063673253
 moral_statements_2,0.0063539948
 moral_statements_10,0.0063421368
GPS_105,0.0062596034
climate_trust_2,0.0062389034
job_field_1,0.0062255044
migration_b_g_drill_1,0.0061212596
moral_right_wrong_10,0.0061195139
climate_eb_statement_1,0.0061055589
moral_right_wrong_14,0.0060922210
migration_s_g_drill_1,0.0060289735
subject_well_being_1,0.0060016322
climate_trust_4,0.0059959707
 moral_statements_1,0.0059749982
 moral_statements_5,0.0059280968
region_1,0.0058939378
moral_right_wrong_3,0.0058856895
 moral_statements_13,0.0058399569
education,0.0057993489
 moral_statements_15,0.0057465113
climate_trust_7,0.0057447697
covid_coping,0.0057423832
moral_right_wrong_8,0.0057251654
moral_right_wrong_5,0.0057076993
job,0.0056892452
 moral_statements_3,0.0056440956
 moral_statements_8,0.0056409719
 moral_statements_12,0.0056256773
moral_right_wrong_13,0.0056186737
moral_right_wrong_12,0.0056054676
 moral_statements_16,0.0055943085
GPS_74,0.0055867820
e_q1_point_guess,0.0055810190
 moral_statements_11,0.0055657122
moral_right_wrong_1,0.0055372212
moral_right_wrong_15,0.0055245752
GPS_106,0.0054764100
moral_right_wrong_11,0.0054717660
soc_inequ_climate,0.0054631368
moral_right_wrong_4,0.0054369099
b_q2_point_guess,0.0054355371
moral_right_wrong_16,0.0053796181
e_q1_distribution_4,0.0053614182
migration_s_g_city,0.0053471359
 moral_statements_4,0.0053435359
b_q1_distribution_3,0.0053210887
 moral_statements_7,0.0052982080
b_q1_distribution_4,0.0052856579
moral_right_wrong_7,0.0052570426
innovation,0.0052435091
moral_right_wrong_6,0.0052258302
moral_right_wrong_9,0.0052104378
b_q1_point_guess,0.0051120571
b_q2_distribution_1,0.0050495765
religion,0.0049903784
covid_finance,0.0049872291
children,0.0049745650
e_q2_distribution_4,0.0049531665
e_q2_distribution_2,0.0049292254
age,0.0048689023
b_q1_distribution_5,0.0048583276
plz,0.0048423549
e_q1_distribution_5,0.0047582220
climate_trust_1,0.0046830815
b_q2_distribution_4,0.0046810280
b_q1_distribution_2,0.0046770829
marital_status,0.0046684695
b_q2_distribution_3,0.0046626278
b_q2_distribution_2,0.0045955437
e_q2_point_guess,0.0045864168
e_q1_distribution_2,0.0045008124
politics_orientation_1,0.0044799913
e_q2_distribution_5,0.0044256118
e_q2_distribution_3,0.0044104438
e_q1_distribution_1,0.0044027469
region_prefix,0.0043447809
e_q2_distribution_1,0.0043016062
b_q1_distribution_1,0.0042902445
income.1,0.0041673114
b_q2_distribution_5,0.0040831929
GPS_107,0.0039898837
gender,0.0039250460
e_q1_distribution_3,0.0038112027
unemployment_count,0.0035643091
patent,0.0032715811
