feature,feature_importance
climate_risk,0.1231945455
climate_belief_score,0.1157660857
climate_state_worry,0.0338093191
bioecon_prod_dishes,0.0139155816
climate_eb_resp_activists,0.0132995127
climate_state_adhere_goal,0.0126821753
climate_eb_renewable,0.0110719735
politics_climate,0.0102117937
climate_eb_ets,0.0097399848
climate_eb_resp_nobody,0.0083186785
climate_policies_score,0.0078925127
climate_state_extreme_weather,0.0078831790
bioecon_prod_other,0.0077673718
climate_know,0.0077613839
climate_actions_donate,0.0077000139
climate_state_forecasts,0.0076500536
climate_state_convinced,0.0070528658
climate_eb_resp_other,0.0069830860
climate_eb_resp_dont_know,0.0068528806
b_q1_own_opinion,0.0066528074
b_q2_population,0.0063016107
climate_trust_all_score,0.0062982463
bioecon_prod_none,0.0062393574
climate_actions_protest,0.0061741127
bioecon_prod_packaging,0.0060593174
climate_actions_volunteer,0.0060565858
climate_eb_resp_industry,0.0059103076
climate_state_children,0.0058395322
climate_state_media,0.0056892056
climate_eb_efficient,0.0056740087
moral_rel_importance_values,0.0055913245
moral_state_justice,0.0055809524
climate_policies_stop_coal,0.0055506667
climate_eb_state_innovation,0.0054633562
climate_trust_scientist,0.0053258236
climate_actions_score,0.0052790716
moral_state_proud,0.0051087709
marital_status,0.0049521546
moral_rel_disorder,0.0049270182
climate_eb_resp_self,0.0049176626
climate_actions_social_media,0.0047439206
climate_trust_nat_score,0.0045978134
b_q1_dist_rath_support,0.0044831927
moral_rel_lack_loyalty,0.0044703949
climate_state_together,0.0043643103
b_q1_attention,0.0043486007
climate_state_single_person,0.0043320693
posrecip,0.0043271347
moral_care_score,0.0043245070
climate_state_manmade,0.0042590667
moral_universal_values,0.0042185555
b_q1_dist_com_support,0.0042175674
climate_eb_state_transition,0.0041610482
subject_well_being,0.0041365298
climate_actions_contact_news,0.0041307267
climate_trust_companies,0.0041254014
moral_state_diff_roles,0.0040607816
moral_rel_god_approve,0.0040559592
climate_flood_affect,0.0040443428
climate_trust_internat_score,0.0040140990
politics_vote,0.0039968649
climate_eb_state_energy_security,0.0039903317
climate_policies_fund_research,0.0039726645
moral_rel_treat_diff,0.0039378065
socialpref_index2,0.0039330935
income_group,0.0039278814
b_q2_dist_rath_oppose,0.0039276243
moral_rel_love_country,0.0039156787
altruism,0.0039119823
b_q2_dist_com_oppose,0.0038922820
moral_rel_cruelty,0.0038566259
climate_trust_un,0.0038365636
moral_in_group_score,0.0038203769
moral_rel_unfair,0.0038010560
climate_eb_resp_all,0.0037649614
moral_rel_deny_rights,0.0037618114
religion_practice,0.0037550521
trust,0.0037506835
bioecon_prod_cleaning,0.0037376161
b_q2_attention,0.0037328566
b_q2_dist_com_support,0.0037061675
b_q1_dist_com_oppose,0.0036980642
socialpref_index,0.0036921273
nuts2,0.0036756326
b_q2_dist_rath_support,0.0036738799
climate_institutions_score,0.0036610947
bioecon_prod_all,0.0036426736
soc_inequ_climate,0.0036209864
climate_eb_resp_eu,0.0036177356
b_q2_dist_neither,0.0036124641
moral_purity_score,0.0036115877
migration_b_g_state,0.0035976274
moral_rel_lack_respect,0.0035772878
b_q1_dist_rath_oppose,0.0035737162
moral_state_unnatural,0.0035651140
moral_communal_values,0.0035643745
moral_state_team_player,0.0035572131
moral_rel_care,0.0035549274
socialpref_index3,0.0035502787
covid_finance,0.0035331065
moral_state_good_than_bad,0.0035306616
moral_state_inherit,0.0035019522
b_q2_point_guess,0.0035015391
bioecon_prod_dispos_dish,0.0034816016
unemployment_count,0.0034787825
moral_state_disgusting,0.0034670946
climate_eb_state_expertise,0.0034377768
b_q1_point_guess,0.0034194698
covid_coping,0.0034184989
moral_state_obey,0.0033816511
patience,0.0033779819
climate_policies_carbon_tax,0.0033532858
moral_authority_score,0.0033139472
climate_state_Germany,0.0032803216
migration_b_g_district,0.0032717397
job_field_group,0.0032553221
climate_actions_public_display,0.0032462035
adequacy,0.0032275820
climate_state_damage,0.0032259540
risk,0.0032092389
b_q1_dist_neither,0.0032067765
moral_rel_disgusting,0.0032043497
moral_rel_traditions,0.0031905968
moral_state_laws_fair,0.0031900725
moral_state_chastity,0.0031881710
climate_trust_eu,0.0031805595
migration_b_g_nuts2,0.0031703250
politics_orientation,0.0031653629
climate_trust_state_gov,0.0031557267
bioecon_prod_furniture,0.0031401021
unemployment_rate,0.0031037924
migration_s_g_district,0.0030688909
moral_state_compassion,0.0030381309
negrecip,0.0030302582
